ヴェルヌ／大友徳明訳;1518;1187;119795;70887;3829;1356;88.34;31.20;4.35;258555;7106.05;8936.41;11696.87;69.15;69.78;69.89;69.77
ヴェルヌ／木村庄三郎訳;1974;1632;185312;104987;7243;2163;85.67;25.49;6.58;406726;6836.15;8970.50;12583.38;66.75;68.15;67.68;68.40
ヴェルヌ／村上啓夫訳;2038;1685;223958;134686;6749;2563;87.38;33.09;8.31;487190;6859.16;9150.48;12997.65;68.09;68.82;69.00;68.21
ヴェルヌ／江口清訳;2110;1843;478151;277107;15572;5994;79.77;30.56;16.85;1038903;5855.81;7864.91;10955.85;72.74;73.74;74.14;74.10
ヴェルヌ／波多野完治訳;1403;1171;128865;74865;5800;2501;51.53;22.15;4.61;285643;5417.02;7135.95;10026.52;70.58;71.49;70.89;71.05
ヴェルヌ／金子博訳;2121;1773;297819;174230;11318;4162;71.56;26.10;10.64;653384;6188.76;8249.32;11756.78;73.69;73.96;74.15;74.54
ヴェルヌ／鈴木力衛訳;1763;1377;148724;84849;4195;1271;117.01;35.03;5.29;325409;7040.72;9462.24;12915.79;68.40;68.44;68.46;68.56
ヴォクト／能島武文訳;1657;1358;211819;124972;6610;1677;126.31;31.97;7.73;465775;5114.92;6636.65;9303.10;72.18;72.98;72.82;72.30
ウェブスター／北川悌二訳;1440;1195;295333;164785;8330;2513;117.52;35.31;10.10;635897;3905.05;5636.91;8115.39;79.32;69.39;73.93;74.98
ウェルズ／宇野利泰訳;1812;1499;175376;102320;4962;1053;166.55;35.21;6.35;381797;6669.25;8612.96;11794.75;73.76;72.73;73.80;73.73
ウェルズ／新庄哲夫訳;1531;1178;83831;50399;2556;355;236.14;32.73;3.17;179164;6351.35;8359.78;11093.92;69.82;70.57;70.50;70.16
ウェルズ／浜野輝訳;1701;1397;155871;90075;5119;1002;155.56;30.36;5.65;337004;5541.54;7462.28;10281.85;74.29;74.39;74.31;74.23
ウェルズ／石川年訳;1426;1112;117220;68493;4158;1342;87.35;28.14;4.23;261602;6352.36;8558.27;11557.07;75.36;77.41;76.70;75.87
ウェルズ／能島武文訳;1592;1259;131135;78029;3971;1006;130.35;32.94;4.75;290631;5261.40;7016.67;10043.58;77.84;80.99;79.87;78.35
ウェルズ／赤坂長義訳;1703;1404;188313;111068;6215;2483;75.84;30.18;6.75;421977;4452.97;5995.14;8631.42;78.49;79.41;78.94;78.16
ウエルズ／水嶋正路訳;1904;1608;160329;96116;4213;1054;152.11;37.96;6.07;349349;6552.20;8455.08;11356.10;66.56;67.59;67.82;66.74
ウォルポール／平井呈一訳;1586;1211;99861;57866;2837;679;147.07;35.08;3.54;218236;8799.20;11653.82;15960.87;74.86;76.87;76.75;75.51
ウルフ／中村佐喜子訳;1946;1563;182693;108708;4900;596;306.53;37.09;6.62;401088;5618.35;7722.28;10825.95;74.30;77.41;76.98;75.23
ウルフ／大澤実訳;2284;1872;193328;111849;6088;814;237.50;31.54;7.05;418465;8014.04;10710.40;14920.60;70.76;71.06;72.17;72.03
ウルフ／岡部宏之訳;2584;2281;958120;580535;33830;8461;113.24;28.11;35.30;2089564;5291.84;7137.13;10097.75;74.57;75.92;75.55;75.05
ウルフ／西崎憲編訳;2006;1561;90410;53287;4039;466;194.01;22.00;3.31;195334;6778.80;8768.17;12114.45;72.14;71.09;71.92;72.96
ウルフ／鈴木幸夫訳;2385;2018;204178;123824;7465;617;330.92;27.27;7.64;441637;8281.30;10885.73;14734.23;72.81;73.98;73.79;73.30
エディングス;2786;2566;3917358;2231776;151866;61527;63.67;25.72;136.65;8538557;6128.54;8086.05;11077.96;74.62;75.61;75.50;75.55
エミリー･ブロンテ／大和資雄訳;1959;1643;325149;192272;9798;2205;147.46;32.52;11.49;696848;4522.43;6274.73;9080.05;76.81;79.13;78.77;78.24
エミリー･ブロンテ／岡田忠軒訳;1806;1510;323118;184912;10921;2064;156.55;29.46;11.35;701283;4134.94;5644.96;8323.80;80.46;80.85;80.92;80.89
エリスン;2023;1670;230277;128549;8948;2703;85.19;25.37;7.97;501645;8452.00;11031.22;15195.50;72.41;72.48;72.54;72.84
オウィディウス／田中秀央・前田敬作訳;2378;1992;478219;274419;12134;3300;144.91;37.75;15.99;1039986;7272.95;10007.68;14098.06;73.72;74.47;74.92;73.84
オルコット／吉田勝江訳;1809;1458;269736;152297;6212;2404;112.20;41.23;8.98;577416;5017.24;6969.74;10641.47;76.31;78.74;78.04;76.80
