sensinkan hatimyouzin;2858;2544;1152108;696234;56847;34121;33.77;20.14;43.91;2549881;6582.40;8786.74;11906.92;75.48;74.21;73.52;72.79
sharnoth fvr;2124;1877;460329;265506;34861;18887;24.37;12.66;16.44;1049854;5277.79;6955.84;9930.99;77.79;75.08;76.20;77.76
shin koihime eiyuutan 1;1857;1567;392490;227928;28739;14550;26.98;13.55;14.50;948719;2909.49;4008.64;5981.68;87.38;88.67;88.69;88.02
shin koihime eiyuutan 2;1897;1659;444312;264335;37757;18946;23.45;11.68;16.47;1113805;2887.67;4128.79;6436.02;84.64;86.96;87.48;87.70
shin koihime eiyuutan 3;1921;1669;423461;246360;32296;18923;22.38;12.95;15.55;1039439;3271.65;4605.40;6788.45;85.59;86.63;87.19;87.33
shin koihime eiyuutan plus;1366;1062;104297;59698;7885;4544;22.95;13.06;3.75;256889;3086.05;4245.83;6565.55;89.28;90.94;90.16;89.89
shirokuma;2432;2127;1010345;559611;70374;46484;21.74;13.94;34.61;2409592;6018.56;8054.15;11507.63;78.83;78.38;78.82;78.10
shugaten;1763;1521;376878;215826;29312;24543;15.36;12.77;13.16;898595;4032.46;5755.26;8319.24;80.34;79.56;79.21;79.93
silverio vendetta;2758;2486;863983;510541;39798;24114;35.83;21.47;33.01;1898888;8915.47;11116.60;14519.37;66.00;68.75;66.32;65.19
simulacre;1771;1515;285163;178791;19263;13170;21.65;14.75;10.82;662112;2600.33;3563.06;5332.25;82.50;81.08;82.36;83.18
snowwhite;1546;1240;176057;107042;8085;5681;30.99;21.70;6.49;394306;2482.20;3471.80;5195.20;85.04;85.51;85.73;83.97
soramitsu;2125;1925;902605;519719;57642;39593;22.80;15.32;32.49;2147612;3477.89;4745.20;6785.37;85.57;85.13;85.39;84.66
sourire;1894;1637;618316;363343;44900;28629;21.60;13.59;22.50;1489796;2338.36;3207.45;4799.17;87.14;87.17;87.60;87.63
subahibi;2238;1996;883648;523303;74527;47508;18.60;11.64;32.17;2157907;3912.49;5536.02;8182.82;82.27;81.41;81.50;82.83
