n2163n;宝くじで40億当たったんだけど異世界に移住する;104;2314;2120;1138659;683001;46061;32667;34.86;24.55;41.66;2509156;5233.14;7053.75;10001.02;79.85;79.90;79.97;79.62
n2211cx;野生のラスボスが現れた！;187;2399;2182;1071699;643324;47978;36641;29.25;22.05;39.42;2335166;4975.18;6476.14;8801.60;76.41;76.43;76.58;76.55
n2224dv;レベル１だけどユニークスキルで最強です;50;2142;1914;1181108;671192;65321;54780;21.56;17.89;40.89;2643064;4549.98;6283.04;8742.99;76.90;77.14;77.15;77.30
n2267be;Ｒｅ：ゼロから始める異世界生活;7;2813;2676;4889110;2871730;201291;116985;41.79;24.21;179.91;10816178;6180.09;8014.83;10765.59;79.63;80.21;80.23;79.71
n2273dh;勇者召喚に巻き込まれたけど、異世界は平和でした;151;2414;2220;2102938;1236416;104006;54596;38.52;20.04;76.31;4787478;3782.38;5161.15;7327.34;78.90;79.16;79.36;79.07
n2276dz;異世界でスローライフを（願望）;124;2360;2093;983821;583974;61108;39813;24.71;15.89;35.37;2230161;4180.80;5894.88;8603.62;81.74;81.88;81.55;81.94
n2360eu;リアリスト魔王による聖域なき異世界改革;235;2256;1976;371381;224793;17816;13383;27.75;20.77;13.94;815983;6131.43;8236.71;11509.50;77.20;77.00;77.24;77.20
n2377fh;最強出涸らし皇子の暗躍帝位争い～帝位に興味ないですが、死ぬのは嫌なので弟を皇帝にしようと思います～;133;2029;1792;551472;329950;31672;18210;30.28;17.29;20.23;1217700;3790.80;5133.16;7333.10;80.01;79.53;79.73;80.07
n2379eu;パーティーから追放されたその治癒師、実は最強につき;258;1597;1344;242406;146091;8688;7898;30.69;27.78;9.01;529794;2227.85;3132.44;4470.41;78.50;78.76;78.79;78.13
n2413ep;エロゲの友人キャラに転生したけど、役割放棄して魔法学園の頂点に立つ　- マジカル★エクスプローラー -;83;1929;1659;326204;192642;15066;7965;40.95;21.52;11.92;717070;4098.88;5650.97;8096.81;79.22;79.06;79.25;79.12
n2415eg;そのおっさん、異世界で二周目プレイを満喫中;14;2118;1895;738462;429079;36996;25686;28.75;19.84;26.71;1626414;4497.30;5969.86;8438.52;77.84;77.43;77.75;77.89
n2435cr;暇人、魔王の姿で異世界へ　～時々チートなぶらり旅～;158;2594;2410;2110288;1259304;102022;66495;31.74;20.50;78.01;4703295;4737.22;6499.57;9283.19;79.94;80.31;80.61;80.39
n2468ca;治癒魔法の間違った使い方～戦場を駆ける回復要員～;119;2308;2112;1488285;901384;69359;49503;30.06;21.35;55.63;3311943;3599.81;4805.51;6968.07;79.91;80.84;80.94;80.81
n2477eq;漆黒使いの最強勇者　〜仲間全員に裏切られたので最強の魔物と組みます〜;241;1852;1552;191652;115840;10047;6245;30.69;19.00;7.11;426989;4275.47;5614.70;7873.37;77.65;78.41;78.36;78.29
n2499j;竜殺しの過ごす日々;x;2212;1971;796922;485536;35428;22067;36.11;22.43;29.71;1729639;3681.71;4968.63;7124.68;80.88;80.47;80.48;80.75
n2542dr;エノク第二部隊の遠征ごはん;x;2379;2158;887655;522313;50133;37771;23.50;17.65;32.42;2020486;5640.71;7402.77;10466.59;78.51;77.92;78.12;78.56
n2596ea;聖女になるので二度目の人生は勝手にさせてもらいます　～王太子は、前世で私を振った恋人でした～;291;1575;1337;265334;159847;14072;7701;34.45;18.78;9.72;589162;3729.75;4973.45;6855.51;81.04;82.07;81.74;81.62
